MAE,MSE,R^2,MAPE,file_name
51.25574897435898,3068.465218344859,-2.4616387153381956,116.08310066085181,predD32L10N10_BatchSize_15_epochs_15_learnRate_0.001_Balance.csv
100.180704,10274.471375020797,-10.59097638740411,226.8874610050987,predD32L10N10_BatchSize_15_epochs_15_learnRate_0.01_Balance.csv
291.3780795897436,113331.9632045541,-126.85359572228882,659.9078468310473,predD32L10N10_BatchSize_15_epochs_15_learnRate_0.1_Balance.csv
70.93966764102562,5350.602061613003,-5.0361939695828415,160.66288649376892,predD32L10N10_BatchSize_15_epochs_16_learnRate_0.001_Balance.csv
74.93852979487178,6085.046372750401,-5.864745274806526,169.71943775333617,predD32L10N10_BatchSize_15_epochs_16_learnRate_0.01_Balance.csv
198.82342,40849.858137596806,-45.08409754810707,450.29171438194686,predD32L10N10_BatchSize_15_epochs_16_learnRate_0.1_Balance.csv
203.49684025641025,42140.50338916613,-46.54011782296282,460.8759927294689,predD32L10N10_BatchSize_15_epochs_17_learnRate_0.001_Balance.csv
103.60916615384616,11019.921279617216,-11.43194347240436,234.6521805786228,predD32L10N10_BatchSize_15_epochs_17_learnRate_0.01_Balance.csv
159.73361025641026,25943.148833702475,-28.267337906788143,361.7618146130707,predD32L10N10_BatchSize_15_epochs_17_learnRate_0.1_Balance.csv
77.84662592307693,6464.545506281262,-6.292870998772312,176.30564168824986,predD32L10N10_BatchSize_15_epochs_18_learnRate_0.001_Balance.csv
113.78760948717948,13367.264843668061,-14.080060619354244,257.7041364211798,predD32L10N10_BatchSize_15_epochs_18_learnRate_0.01_Balance.csv
258.280121025641,67595.0407518653,-75.25623671163356,584.9481841093599,predD32L10N10_BatchSize_15_epochs_18_learnRate_0.1_Balance.csv
124.46227487179486,15946.193479178297,-16.98943666683376,281.87992706240345,predD32L10N10_BatchSize_15_epochs_19_learnRate_0.001_Balance.csv
66.55983153846154,4855.603970209249,-4.477769990396916,150.74351227047308,predD32L10N10_BatchSize_15_epochs_19_learnRate_0.01_Balance.csv
249.794801025641,63283.862454285096,-70.39265161560327,565.7307836145922,predD32L10N10_BatchSize_15_epochs_19_learnRate_0.1_Balance.csv
96.63359846153845,9771.44451742418,-10.023494887303995,218.85404002276397,predD32L10N10_BatchSize_20_epochs_15_learnRate_0.001_Balance.csv
69.28916556410256,5197.618382761589,-4.86360794111465,156.92485900279905,predD32L10N10_BatchSize_20_epochs_15_learnRate_0.01_Balance.csv
106.8612223076923,11780.532451119647,-12.290014492030185,242.0173790083739,predD32L10N10_BatchSize_20_epochs_15_learnRate_0.1_Balance.csv
68.69086102564103,5329.283414827382,-5.012143687822917,155.56982961870364,predD32L10N10_BatchSize_20_epochs_16_learnRate_0.001_Balance.csv
102.38944874358975,10940.17812556295,-11.341982540891399,231.88978647170185,predD32L10N10_BatchSize_20_epochs_16_learnRate_0.01_Balance.csv
1310.0150410256408,1717025.8275482575,-1936.0345292956317,2966.8985609923225,predD32L10N10_BatchSize_20_epochs_16_learnRate_0.1_Balance.csv
123.15811641025644,15639.762393860858,-16.643741463193773,278.92629237755665,predD32L10N10_BatchSize_20_epochs_17_learnRate_0.001_Balance.csv
105.78747282051282,11549.846459835364,-12.029769874055798,239.58557043472203,predD32L10N10_BatchSize_20_epochs_17_learnRate_0.01_Balance.csv
176.43472923076925,31952.174026549794,-35.04632113418253,399.5862092194052,predD32L10N10_BatchSize_20_epochs_17_learnRate_0.1_Balance.csv
70.37225079487179,5233.659265793758,-4.904266872261482,159.37781100103368,predD32L10N10_BatchSize_20_epochs_18_learnRate_0.001_Balance.csv
63.10887551282049,4315.656534882255,-3.8686371460025804,142.9278489796866,predD32L10N10_BatchSize_20_epochs_18_learnRate_0.01_Balance.csv
242.04596102564102,59472.66708367164,-66.09311405925138,548.1813498101068,predD32L10N10_BatchSize_20_epochs_18_learnRate_0.1_Balance.csv
178.0884551282051,32453.469750622713,-35.61184968438729,403.33153796123156,predD32L10N10_BatchSize_20_epochs_19_learnRate_0.001_Balance.csv
91.4327131794872,8629.811710366717,-8.73558055802181,207.07516834879974,predD32L10N10_BatchSize_20_epochs_19_learnRate_0.01_Balance.csv
202.19750615384612,41736.50456147496,-46.08435317080836,457.9332841662698,predD32L10N10_BatchSize_20_epochs_19_learnRate_0.1_Balance.csv
61.67176887179488,4142.267234726445,-3.6730308504981117,139.6731156432562,predD32L10N10_BatchSize_25_epochs_15_learnRate_0.001_Balance.csv
77.54032664102563,6423.925868586363,-6.247046620641177,175.61194056979593,predD32L10N10_BatchSize_25_epochs_15_learnRate_0.01_Balance.csv
263.76371412051276,119829.73021740008,-134.18394501888207,597.3673273655357,predD32L10N10_BatchSize_25_epochs_15_learnRate_0.1_Balance.csv
170.9066207692308,29822.228095375347,-32.64345756158919,387.0662483594849,predD32L10N10_BatchSize_25_epochs_16_learnRate_0.001_Balance.csv
110.83145512820514,12577.029357682824,-13.188569415163203,251.0090910674673,predD32L10N10_BatchSize_25_epochs_16_learnRate_0.01_Balance.csv
246.4057769230769,62360.36558346598,-69.35082376550774,558.0553826320252,predD32L10N10_BatchSize_25_epochs_16_learnRate_0.1_Balance.csv
113.43942794871793,13234.096680516777,-13.929829139962209,256.9155811198476,predD32L10N10_BatchSize_25_epochs_17_learnRate_0.001_Balance.csv
82.16429823076922,7034.914260593464,-6.9363231552909195,186.08422846424546,predD32L10N10_BatchSize_25_epochs_17_learnRate_0.01_Balance.csv
166.48238820512822,28343.63026263391,-30.97540166457831,377.0463258266455,predD32L10N10_BatchSize_25_epochs_17_learnRate_0.1_Balance.csv
